id;Word_english;Level;Word_port;Category;Sentence_1;Sentence_2;Sentence_3;words_translation;Type
1;a;A1;um, uma;;I want a cookie.;;;a. [pt] um, uma. [en] ;Word
4;a bottle of;A1;uma garrafa de;Clothing;She bought a bottle of juice.;;;a bottle of. [pt] uma garrafa de. [en] ;Word
7;a day off;A1;um dia de folga;;I'm taking a day off work.;;;a day off. [pt] um dia de folga. [en] ;Word
10;a hundred;A1;cem;Numbers;There are a hundred people at the party.;;;a hundred. [pt] cem. [en] ;Word
13;a lot;A1;muito;;She learned a lot from the lesson.;;;a lot. [pt] muito. [en] ;Word
16;a.m.;A1;manhã;;My class starts at 9 a.m.;;;a.m.. [pt] manhã. [en] ;Word
19;accident;A1;acidente;Communication;He had an accident last week.;;;accident. [pt] acidente. [en] ;Word
22;across;A1;através;Places;I walked across the street.;;;across. [pt] através. [en] ;Word
25;activity;A1;atividade;Business;Swimming is a fun activity.;;;activity. [pt] atividade. [en] ;Word
28;actor;A1;Ator;Business;The actor is performing on stage.;;;actor. [pt] Ator. [en] ;Word
31;actress;A1;Atriz;Business;She is an actress in that movie.;;;actress. [pt] Atriz. [en] ;Word
34;address;A1;Endereço;Business;What is your address?;;;address. [pt] Endereço. [en] ;Word
37;adult;A1;Adulto;;She is an adult now.;;;adult. [pt] Adulto. [en] ;Word
40;adventure;A1;Aventura;;They went on an adventure last weekend.;;;adventure. [pt] Aventura. [en] ;Word
43;afternoon;A1;Tarde;;See you in the afternoon!;;;afternoon. [pt] Tarde. [en] ;Word
46;again;A1;Novamente;;Let's try again!;;;again. [pt] Novamente. [en] ;Word
49;age;A1;Idade;;What is your age?;;;age. [pt] Idade. [en] ;Word
52;ago;A1;Atrás;;She left a while ago.;;;ago. [pt] Atrás. [en] ;Word
55;air;A1;Ar;Nature;The air is fresh in the mountains.;;;air. [pt] Ar. [en] ;Word
58;airport;A1;Aeroporto;Places;We're going to the airport to catch our flight.;;;airport. [pt] Aeroporto. [en] ;Word
61;also;A1;Também;;He is also coming to the party.;;;also. [pt] Também. [en] ;Word
64;always;A1;Sempre;;I always eat breakfast in the morning.;;;always. [pt] Sempre. [en] ;Word
67;an;A1;Um, Uma;;I need an apple.;;;an. [pt] Um, Uma. [en] ;Word
70;animal;A1;Animal;Animals;The zoo has many different animals.;;;animal. [pt] Animal. [en] ;Word
73;another;A1;Outro;;I want another slice of cake.;;;another. [pt] Outro. [en] ;Word
76;anything;A1;Qualquer Coisa;;Is there anything I can help you with?;;;anything. [pt] Qualquer Coisa. [en] ;Word
79;apartment;A1;Apartamento;Home;She lives in a small apartment.;;;apartment. [pt] Apartamento. [en] ;Word
82;apple;A1;Maçã;Foods and drinks;I want to eat an apple.;;;apple. [pt] Maçã. [en] ;Word
85;April;A1;Abril;Days of the week and months;My birthday is in April.;;;April. [pt] Abril. [en] ;Word
88;are;A1;São, Estão;;They are coming to the party.;;;are. [pt] São, Estão. [en] ;Word
91;Argentina;A1;Argentina;Places;My friend is from Argentina.;;;Argentina. [pt] Argentina. [en] ;Word
94;arm;A1;Braço;Human body and health;He broke his arm playing football.;;;arm. [pt] Braço. [en] ;Word
97;Armenia;A1;Armênia;Places;Armenia is in Asia.;;;Armenia. [pt] Armênia. [en] ;Word
100;artist;A1;Artista;Business;She is a talented artist.;;;artist. [pt] Artista. [en] ;Word
103;astronaut;A1;Astronauta;;I want to be an astronaut.;;;astronaut. [pt] Astronauta. [en] ;Word
106;at the;A1;No, Na;;I am at the park.;;;at the. [pt] No, Na. [en] ;Word
109;August;A1;Agosto;Days of the week and months;August is in summer.;;;August. [pt] Agosto. [en] ;Word
112;aunt;A1;Tia;;My aunt lives in London.;;;aunt. [pt] Tia. [en] ;Word
115;Australia;A1;Austrália;Places;Kangaroos are found in Australia.;;;Australia. [pt] Austrália. [en] ;Word
118;Austria;A1;Áustria;Places;She visited Austria last year.;;;Austria. [pt] Áustria. [en] ;Word
121;autumn;A1;Outono;Days of the week and months;The leaves fall in autumn.;;;autumn. [pt] Outono. [en] ;Word
124;awesome;A1;Impressionante;Emotions;That was an awesome movie!;;;awesome. [pt] Impressionante. [en] ;Word
127;baby;A1;Bebê;;They had a baby last month.;;;baby. [pt] Bebê. [en] ;Word
130;badly;A1;Muito Mal;Emotions;She hurt herself badly.;;;badly. [pt] Muito Mal. [en] ;Word
133;bag;A1;Bolsa, Saco;;I need a bag for shopping.;;;bag. [pt] Bolsa, Saco. [en] ;Word
136;bakery;A1;Padaria;Work;I bought bread from the bakery.;;;bakery. [pt] Padaria. [en] ;Word
139;ball;A1;Bola;;Let's play ball!;;;ball. [pt] Bola. [en] ;Word
142;banana;A1;Banana;Foods and drinks;She ate a banana for breakfast.;;;banana. [pt] Banana. [en] ;Word
145;band;A1;Banda;;I like that band's music.;;;band. [pt] Banda. [en] ;Word
148;baseball;A1;Beisebol;Sports;Baseball is a popular sport in America.;;;baseball. [pt] Beisebol. [en] ;Word
151;basketball;A1;Basquete;Sports;They play basketball every Saturday.;;;basketball. [pt] Basquete. [en] ;Word
154;bath;A1;Banho;Home;I take a bath before going to bed.;;;bath. [pt] Banho. [en] ;Word
157;bathroom;A1;Banheiro;Home;The bathroom is next to the bedroom.;;;bathroom. [pt] Banheiro. [en] ;Word
160;be;A1;Ser, Estar;;She wants to be a doctor.;;;be. [pt] Ser, Estar. [en] ;Word
163;beach;A1;Praia;Places;We love going to the beach in summer.;;;beach. [pt] Praia. [en] ;Word
166;beard;A1;Barba;Human body and health;He has a long beard.;;;beard. [pt] Barba. [en] ;Word
169;beautiful;A1;Bonito, Bonita;Emotions;The flowers are beautiful.;;;beautiful. [pt] Bonito, Bonita. [en] ;Word
172;because;A1;Porque;;She is happy because she won.;;;because. [pt] Porque. [en] ;Word
175;bed;A1;Cama;Home;I sleep in a big bed.;;;bed. [pt] Cama. [en] ;Word
178;bedroom;A1;Quarto;Home;Her bedroom is upstairs.;;;bedroom. [pt] Quarto. [en] ;Word
181;beer;A1;Cerveja;Foods and drinks;He likes drinking beer with friends.;;;beer. [pt] Cerveja. [en] ;Word
184;begin;A1;Começar;;Let's begin the game now.;;;begin. [pt] Começar. [en] ;Word
187;beginning;A1;Começo;;The beginning of the book was interesting.;;;beginning. [pt] Começo. [en] ;Word
190;believe;A1;Acreditar;;I believe in you!;;;believe. [pt] Acreditar. [en] ;Word
193;best friend;A1;Melhor amigo;;She is my best friend.;;;best friend. [pt] Melhor amigo. [en] ;Word
196;bicycle;A1;Bicicleta;Transportation;He rides his bicycle to work.;;;bicycle. [pt] Bicicleta. [en] ;Word
199;big;A1;Grande;;That is a big house.;;;big. [pt] Grande. [en] ;Word
202;bird;A1;Pássaro;Animals;I saw a colorful bird in the garden.;;;bird. [pt] Pássaro. [en] ;Word
205;birthday;A1;Aniversário;;Her birthday is in May.;;;birthday. [pt] Aniversário. [en] ;Word
208;biscuit;A1;Biscoito;Foods and drinks;I like having biscuits with tea.;;;biscuit. [pt] Biscoito. [en] ;Word
211;black;A1;Preto;Colors;She wears a black dress.;;;black. [pt] Preto. [en] ;Word
214;blond;A1;Loiro;Colors;He has blond hair.;;;blond. [pt] Loiro. [en] ;Word
217;blonde;A1;Loira;Colors;She is a blonde girl.;;;blonde. [pt] Loira. [en] ;Word
220;blue;A1;Azul;Colors;The sky is blue today.;;;blue. [pt] Azul. [en] ;Word
223;boat;A1;Barco;Transportation;They went fishing on a boat.;;;boat. [pt] Barco. [en] ;Word
226;Bolivia;A1;Bolívia;Places;Bolivia is in South America.;;;Bolivia. [pt] Bolívia. [en] ;Word
229;bookshop;A1;Livraria;Places;I bought a book at the bookshop.;;;bookshop. [pt] Livraria. [en] ;Word
232;boring;A1;Chato;Emotions;The movie was boring.;;;boring. [pt] Chato. [en] ;Word
235;born;A1;Nascido;;She was born in June.;;;born. [pt] Nascido. [en] ;Word
238;boss;A1;Chefe;Work;He is the boss of the company.;;;boss. [pt] Chefe. [en] ;Word
241;both;A1;Ambos;;They both like ice cream.;;;both. [pt] Ambos. [en] ;Word
244;bowler hat;A1;Chapéu coco;Clothing;He wore a bowler hat to the party.;;;bowler hat. [pt] Chapéu coco. [en] ;Word
247;boy;A1;Menino;;The boy is playing in the park.;;;boy. [pt] Menino. [en] ;Word
250;boyfriend;A1;Namorado;;She introduced her boyfriend to us.;;;boyfriend. [pt] Namorado. [en] ;Word
253;Brazil;A1;Brasil;Places;Brazil is famous for football.;;;Brazil. [pt] Brasil. [en] ;Word
256;bread;A1;Pão;Foods and drinks;Can you buy bread from the store?;;;bread. [pt] Pão. [en] ;Word
259;breakfast;A1;Café da manhã;Foods and drinks;I have cereal for breakfast.;;;breakfast. [pt] Café da manhã. [en] ;Word
262;bring;A1;Trazer;;Please bring your book tomorrow.;;;bring. [pt] Trazer. [en] ;Word
265;broken;A1;Quebrado;;The cup is broken.;;;broken. [pt] Quebrado. [en] ;Word
268;brother;A1;Irmão;;Her brother is very tall.;;;brother. [pt] Irmão. [en] ;Word
271;brown;A1;Marrom;Colors;She has brown eyes.;;;brown. [pt] Marrom. [en] ;Word
274;build;A1;Construir;;They want to build a new house.;;;build. [pt] Construir. [en] ;Word
277;building;A1;Prédio, Construção;Places;The building is tall.;;;building. [pt] Prédio, Construção. [en] ;Word
280;Bulgaria;A1;Bulgária;Places;She visited Bulgaria last year.;;;Bulgaria. [pt] Bulgária. [en] ;Word
283;burger;A1;Hambúrguer;Foods and drinks;He ordered a cheeseburger.;;;burger. [pt] Hambúrguer. [en] ;Word
286;bus;A1;Ônibus;Transportation;I take the bus to work.;;;bus. [pt] Ônibus. [en] ;Word
289;butter;A1;Manteiga;Foods and drinks;I spread butter on my toast.;;;butter. [pt] Manteiga. [en] ;Word
292;buy;A1;Comprar;;Can you buy some milk?;;;buy. [pt] Comprar. [en] ;Word
295;bye;A1;Tchau;;She said bye and left.;;;bye. [pt] Tchau. [en] ;Word
298;cafe;A1;Café;Places;Let's meet at the cafe tomorrow.;;;cafe. [pt] Café. [en] ;Word
301;cake;A1;Bolo;Foods and drinks;I baked a cake for her birthday.;;;cake. [pt] Bolo. [en] ;Word
304;camera;A1;Câmera;Technology;I need a new camera.;;;camera. [pt] Câmera. [en] ;Word
307;Canada;A1;Canadá;Places;Canada is a beautiful country.;;;Canada. [pt] Canadá. [en] ;Word
310;cannot;A1;Não pode;;I cannot swim.;;;cannot. [pt] Não pode. [en] ;Word
313;capital;A1;Capital;;Paris is the capital of France.;;;capital. [pt] Capital. [en] ;Word
316;car;A1;Carro;Transportation;He drives a red car.;;;car. [pt] Carro. [en] ;Word
319;car park;A1;Estacionamento;Places;The car park is full.;;;car park. [pt] Estacionamento. [en] ;Word
322;card games;A1;Jogos de cartas;;They play card games every Sunday.;;;card games. [pt] Jogos de cartas. [en] ;Word
325;carpenter;A1;Carpinteiro;Professions;The carpenter fixed the table.;;;carpenter. [pt] Carpinteiro. [en] ;Word
328;carrot;A1;Cenoura;Foods and drinks;Do you like eating carrots?;;;carrot. [pt] Cenoura. [en] ;Word
331;cat;A1;Gato;Animals;The cat is sleeping.;;;cat. [pt] Gato. [en] ;Word
334;CD;A1;CD;Technology;I have the latest CD of her favorite band.;;;CD. [pt] CD. [en] ;Word
337;CD player;A1;Tocador de CD;Technology;He bought a new CD player.;;;CD player. [pt] Tocador de CD. [en] ;Word
340;cent;A1;Centavo;Numbers;A dollar has 100 cents.;;;cent. [pt] Centavo. [en] ;Word
343;century;A1;Século;Numbers;We live in the 21st century.;;;century. [pt] Século. [en] ;Word
346;chair;A1;Cadeira;Home;Please sit on the chair.;;;chair. [pt] Cadeira. [en] ;Word
349;characters;A1;Personagens;;The book has interesting characters.;;;characters. [pt] Personagens. [en] ;Word
352;chart;A1;Gráfico;;The chart shows the sales data.;;;chart. [pt] Gráfico. [en] ;Word
355;check;A1;Check-in;Travel;Let's do the check-in at the hotel.;;;check-in. [pt] Check-in. [en] ;Word
358;cheese;A1;Queijo;Foods and drinks;I love eating cheese sandwiches.;;;cheese. [pt] Queijo. [en] ;Word
361;chef;A1;Chef;Professions;He is a famous chef.;;;chef. [pt] Chef. [en] ;Word
364;chicken;A1;Frango;Foods and drinks;She cooked chicken for dinner.;;;chicken. [pt] Frango. [en] ;Word
367;child;A1;Criança;;The child is playing in the park.;;;child. [pt] Criança. [en] ;Word
370;children;A1;Crianças;;There are many children in the park.;;;children. [pt] Crianças. [en] ;Word
373;Chile;A1;Chile;Places;Chile is in South America.;;;Chile. [pt] Chile. [en] ;Word
376;chip;A1;Lasca;Foods and drinks;He ate a potato chip.;;;chip. [pt] Lasca. [en] ;Word
379;chips;A1;Batatas fritas;Foods and drinks;She loves eating chips.;;;chips. [pt] Batatas fritas. [en] ;Word
382;cinema;A1;Cinema;;Let's go to the cinema tonight.;;;cinema. [pt] Cinema. [en] ;Word
385;city;A1;Cidade;Places;New York is a big city.;;;city. [pt] Cidade. [en] ;Word
388;class;A1;Aula;Education;I have a math class in the morning.;;;class. [pt] Aula. [en] ;Word
391;classroom;A1;Sala de aula;Education;We study in the classroom.;;;classroom. [pt] Sala de aula. [en] ;Word
394;clean;A1;Limpo;;Her room is clean.;;;clean. [pt] Limpo. [en] ;Word
397;clock;A1;Relógio;Technology;The clock shows the time.;;;clock. [pt] Relógio. [en] ;Word
400;closed;A1;Fechado;;The shop is closed.;;;closed. [pt] Fechado. [en] ;Word
403;clothes;A1;Roupas;Clothing;She buys new clothes.;;;clothes. [pt] Roupas. [en] ;Word
406;coat;A1;Casaco;Clothing;He wears a warm coat in winter.;;;coat. [pt] Casaco. [en] ;Word
409;coffee;A1;Café;Foods and drinks;She drinks coffee every morning.;;;coffee. [pt] Café. [en] ;Word
412;cola;A1;Cola;Foods and drinks;I need cola to stick the paper.;;;cola. [pt] Cola. [en] ;Word
415;college;A1;Faculdade;Education;He goes to college.;;;college. [pt] Faculdade. [en] ;Word
418;Colombia;A1;Colômbia;Places;Colombia is in South America.;;;Colombia. [pt] Colômbia. [en] ;Word
421;color;A1;Cor;Colors;Red is a bright color.;;;color. [pt] Cor. [en] ;Word
424;colour;A1;Cor;Colors;The sky changes color at sunset.;;;colour. [pt] Cor. [en] ;Word
427;come;A1;Vir;;Please come to the party.;;;come. [pt] Vir. [en] ;Word
430;comedian;A1;Comediante;;She is a famous comedian.;;;comedian. [pt] Comediante. [en] ;Word
433;comics;A1;Quadrinhos;;He likes reading comics.;;;comics. [pt] Quadrinhos. [en] ;Word
436;company;A1;Empresa;Work;She works for a big company.;;;company. [pt] Empresa. [en] ;Word
439;computer;A1;Computador;Technology;He uses a computer for work.;;;computer. [pt] Computador. [en] ;Word
442;concert;A1;Concerto;;They went to a music concert.;;;concert. [pt] Concerto. [en] ;Word
445;conversation;A1;Conversa;Communication;They had a nice conversation.;;;conversation. [pt] Conversa. [en] ;Word
448;cooking;A1;Cozinhando;;She enjoys cooking.;;;cooking. [pt] Cozinhando. [en] ;Word
451;cost;A1;Custo;;The shirt cost $20.;;;cost. [pt] Custo. [en] ;Word
454;country;A1;País;Places;I love traveling to different countries.;;;country. [pt] País. [en] ;Word
457;cousin;A1;Primo, Prima;;Her cousin lives in Canada.;;;cousin. [pt] Primo, Prima. [en] ;Word
460;cow;A1;Vaca;Animals;The cow is in the field.;;;cow. [pt] Vaca. [en] ;Word
463;croissant;A1;Croissant;Foods and drinks;She likes eating croissants for breakfast.;;;croissant. [pt] Croissant. [en] ;Word
466;Cuba;A1;Cuba;Places;Cuba is an island nation.;;;Cuba. [pt] Cuba. [en] ;Word
469;cup;A1;Xícara;;She drinks tea from a cup.;;;cup. [pt] Xícara. [en] ;Word
472;cupcake;A1;Cupcake;Foods and drinks;She baked delicious cupcakes.;;;cupcake. [pt] Cupcake. [en] ;Word
475;d;A1;D;;The answer is option D.;;;d. [pt] D. [en] ;Word
478;dad;A1;Pai;;Her dad is a teacher.;;;dad. [pt] Pai. [en] ;Word
481;dancer;A1;Dançarino;Professions;She is a good dancer.;;;dancer. [pt] Dançarino. [en] ;Word
484;dancing;A1;Dança;;They enjoy dancing.;;;dancing. [pt] Dança. [en] ;Word
487;dangerous;A1;Perigoso;;It's dangerous to cross the road here.;;;dangerous. [pt] Perigoso. [en] ;Word
490;dark;A1;Escuro;Colors;The room is dark at night.;;;dark. [pt] Escuro. [en] ;Word
493;daughter;A1;Filha;;His daughter is three years old.;;;daughter. [pt] Filha. [en] ;Word
496;day;A1;Dia;Days of the week and months;Today is a sunny day.;;;day. [pt] Dia. [en] ;Word
499;Days;A1;Dias;Days of the week and months;She waits for many days.;;;Days. [pt] Dias. [en] ;Word
502;dear;A1;Caro, Querido;Emotions;Dear Mom, I miss you.;;;dear. [pt] Caro, Querido. [en] ;Word
505;December;A1;Dezembro;Days of the week and months;December is the last month of the year.;;;December. [pt] Dezembro. [en] ;Word
508;describe;A1;Descrever;;Can you describe the picture?;;;describe. [pt] Descrever. [en] ;Word
511;desk;A1;Mesa, Escrivaninha;Home;Her books are on the desk.;;;desk. [pt] Mesa, Escrivaninha. [en] ;Word
514;dialogue;A1;Diálogo;Communication;They had a good dialogue.;;;dialogue. [pt] Diálogo. [en] ;Word
517;dictionary;A1;Dicionário;Education;He uses a dictionary to learn new words.;;;dictionary. [pt] Dicionário. [en] ;Word
520;die;A1;Morrer;;Flowers die without water.;;;die. [pt] Morrer. [en] ;Word
523;dining room;A1;Sala de jantar;Home;They eat dinner in the dining room.;;;dining room. [pt] Sala de jantar. [en] ;Word
526;dinner;A1;Jantar;Foods and drinks;She cooks dinner every night.;;;dinner. [pt] Jantar. [en] ;Word
529;dirty;A1;Sujo;;The floor is dirty.;;;dirty. [pt] Sujo. [en] ;Word
532;discuss;A1;Discutir;;Let's discuss the plan.;;;discuss. [pt] Discutir. [en] ;Word
535;doctor;A1;Médico;Professions;She is a doctor.;;;doctor. [pt] Médico. [en] ;Word
538;dog;A1;Cachorro;Animals;Her dog is friendly.;;;dog. [pt] Cachorro. [en] ;Word
541;doll;A1;Boneca;;She plays with her doll.;;;doll. [pt] Boneca. [en] ;Word
544;dollar;A1;Dólar;;One dollar is equal to 100 cents.;;;dollar. [pt] Dólar. [en] ;Word
547;door;A1;Porta;Home;Close the door, please.;;;door. [pt] Porta. [en] ;Word
550;doughnut;A1;Rosquinha;Foods and drinks;She bought a chocolate doughnut.;;;doughnut. [pt] Rosquinha. [en] ;Word
553;draw;A1;Desenhar;;Can you draw a cat?;;;draw. [pt] Desenhar. [en] ;Word
556;drink;A1;Beber;Foods and drinks;She likes to drink juice.;;;drink. [pt] Beber. [en] ;Word
559;driver;A1;Motorista;Professions;He is a taxi driver.;;;driver. [pt] Motorista. [en] ;Word
562;during;A1;Durante;;He reads during his break.;;;during. [pt] Durante. [en] ;Word
565;DVD;A1;DVD;Technology;We watched a movie on DVD.;;;DVD. [pt] DVD. [en] ;Word
568;each;A1;Cada;;Each student has a book.;;;each. [pt] Cada. [en] ;Word
571;each other;A1;Um ao outro;;They help each other.;;;each other. [pt] Um ao outro. [en] ;Word
574;ear;A1;Orelha;Human body and health;Her ear hurts.;;;ear. [pt] Orelha. [en] ;Word
577;east;A1;Leste;;The sun rises in the east.;;;east. [pt] Leste. [en] ;Word
580;eat;A1;Comer;;I eat breakfast in the morning.;;;eat. [pt] Comer. [en] ;Word
583;Ecuador;A1;Equador;Places;Ecuador is in South America.;;;Ecuador. [pt] Equador. [en] ;Word
586;egg;A1;Ovo;Foods and drinks;She cooks eggs for breakfast.;;;egg. [pt] Ovo. [en] ;Word
589;eight;A1;Oito;Numbers;There are eight planets in our solar system.;;;eight. [pt] Oito. [en] ;Word
592;eighteen;A1;Dezoito;Numbers;She turns eighteen next month.;;;eighteen. [pt] Dezoito. [en] ;Word
595;eighth;A1;Oitavo;Numbers;He is in the eighth grade.;;;eighth. [pt] Oitavo. [en] ;Word
598;eighty;A1;Oitenta;Numbers;There are eighty students in the class.;;;eighty. [pt] Oitenta. [en] ;Word
601;electric piano;A1;piano elétrico;;She plays the electric piano well.;;;electric piano. [pt] piano elétrico. [en] ;Word
605;electronics shop;A1;loja de eletrônicos;;I bought a new phone at the electronics shop.;;;electronics shop. [pt] loja de eletrônicos. [en] ;Word
609;elephant;A1;elefante;Animals;The elephant is big and gray.;;;elephant. [pt] elefante. [en] ;Word
613;eleven;A1;onze;Numbers;There are eleven students in the class.;;;eleven. [pt] onze. [en] ;Word
617;eleventh;A1;décimo primeiro;Numbers;He came in eleventh place.;;;eleventh. [pt] décimo primeiro. [en] ;Word
621;else;A1;mais, outra coisa;;Is there anything else you need?;;;else. [pt] mais, outra coisa. [en] ;Word
625;email;A1;e-mail;;I received an email from her.;;;email. [pt] e-mail. [en] ;Word
629;end;A1;fim;;The book has come to an end.;;;end. [pt] fim. [en] ;Word
633;engineer;A1;engenheiro;Professions;My dad is an engineer.;;;engineer. [pt] engenheiro. [en] ;Word
637;England;A1;Inglaterra;Places;I want to visit England someday.;;;England. [pt] Inglaterra. [en] ;Word
641;enough;A1;suficiente;;Do you have enough money?;;;enough. [pt] suficiente. [en] ;Word
645;enthusiastic;A1;entusiasmado;Emotions;She was very enthusiastic about the project.;;;enthusiastic. [pt] entusiasmado. [en] ;Word
649;environment;A1;ambiente;;We need to protect the environment.;;;environment. [pt] ambiente. [en] ;Word
653;euro;A1;euro;;The price is in euros.;;;euro. [pt] euro. [en] ;Word
657;Europe;A1;Europa;Places;My family is going to Europe for vacation.;;;Europe. [pt] Europa. [en] ;Word
661;evening;A1;noite;;We have dinner in the evening.;;;evening. [pt] noite. [en] ;Word
665;ever;A1;alguma vez;;Have you ever been to France?;;;ever. [pt] alguma vez. [en] ;Word
669;every;A1;todo, cada;;I go for a walk every morning.;;;every. [pt] todo, cada. [en] ;Word
673;everybody;A1;todos;;Everybody likes pizza.;;;everybody. [pt] todos. [en] ;Word
677;everyone;A1;todos;;Everyone is excited for the party.;;;everyone. [pt] todos. [en] ;Word
681;everything;A1;tudo;;I have everything I need for the trip.;;;everything. [pt] tudo. [en] ;Word
685;exam;A1;exame;Education;She has an English exam next week.;;;exam. [pt] exame. [en] ;Word
689;example;A1;exemplo;;Can you give me an example of that?;;;example. [pt] exemplo. [en] ;Word
693;excuse;A1;desculpa;;Please excuse my mistake.;;;excuse. [pt] desculpa. [en] ;Word
697;exercise;A1;exercício;Human body and health;I do exercise every morning.;;;exercise. [pt] exercício. [en] ;Word
701;eye;A1;olho;Human body and health;His eye color is brown.;;;eye. [pt] olho. [en] ;Word
705;face;A1;rosto, encarar;Human body and health;She washed her face before bed.;;;face. [pt] rosto, encarar. [en] ;Word
709;fact;A1;fato;;It's a well-known fact.;;;fact. [pt] fato. [en] ;Word
713;factory;A1;fábrica;Places;My dad works in a factory.;;;factory. [pt] fábrica. [en] ;Word
717;fall;A1;queda, outono;;Leaves fall from the trees in fall.;;;fall. [pt] queda, outono. [en] ;Word
721;false;A1;FALSO;;That statement is false.;;;false. [pt] falso. [en] ;Word
725;famous;A1;famoso;;She is a famous actress.;;;famous. [pt] famoso. [en] ;Word
729;fantastic;A1;fantástico;Emotions;It was a fantastic movie.;;;fantastic. [pt] fantástico. [en] ;Word
733;farm;A1;fazenda;Places;They live on a farm.;;;farm. [pt] fazenda. [en] ;Word
737;farmer;A1;agricultor;Professions;The farmer grows vegetables.;;;farmer. [pt] agricultor. [en] ;Word
741;fast;A1;rápido, jejum;;He is a fast runner.;;;fast. [pt] rápido, jejum. [en] ;Word
745;fat;A1;gordo;;The cat is fat.;;;fat. [pt] gordo. [en] ;Word
749;father;A1;pai;;My father is a doctor.;;;father. [pt] pai. [en] ;Word
753;favorite;A1;favorito;;Pizza is my favorite food.;;;favorite. [pt] favorito. [en] ;Word
757;February;A1;fevereiro;Days of the week and months;My birthday is in February.;;;February. [pt] fevereiro. [en] ;Word
761;feet;A1;pés;Human body and health;He has big feet.;;;feet. [pt] pés. [en] ;Word
765;fifteen;A1;quinze;Numbers;I'll be there at fifteen minutes past three.;;;fifteen. [pt] quinze. [en] ;Word
